Champion,Included,Excluded
Aatrox,"Blade Waltz
Clown College
Combo Master
Contract Killer
Dashing
Demon's Dance
Desecrator
Despoil
Doomsayer
Earthwake
Energetic
escAPADe
Executioner
Fallen Aegis
Final Form
Get Excited!
Giant Slayer
Glass Cannon
Goliath
Goredrink
Hold Very Still
Infernal Soul
It's Killing Time
Jeweled Gauntlet
Kill Secured
Mirror Image
Mystic Punch
Now You See Me
Outlaw's Grit
Self Destruct
Serve Beyond Death
Shadow Runner
Slap Around
Speed Demon
Symphony of War
The Brutalizer
Thread the Needle
Trailblazer
Upgrade Collector
Upgrade Hubris
Vanish
Weighted Popoffs
Wind Beneath Blade","All For You
And My Axe!
Big Brain
Crack Open That Egg
Critical Rhythm
Dark Blessing
Draw Your Sword
Eureka
Juiced
Marksmage
Mind to Matter
Ominous Pact
Overflow
Phenomenal Evil
Protein Shake
Quest: Angel of Retribution
Quest: Wooglet's Witchcap
Righteous Fury
Skilled Sniper
Sonic Boom
Spellwake
Trueshot Prodigy
Twin Fire
Unshackled
Witchful Thinking
Zealot"
Ahri,"Adamant
ADAPt
Big Brain
Blade Waltz
Clown College
Combo Master
Contract Killer
Dashing
Desecrator
Despoil
Doomsayer
Earthwake
Eureka
Executioner
Fallen Aegis
From Beginning to End
Get Excited!
Giant Slayer
Glass Cannon
Goredrink
Hold Very Still
Ice Cold
Infernal Conduit
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Kill Secured
Magic Missile
Magical Girl
Marksmage
Mind to Matter
Mirror Image
Now You See Me
Ominous Pact
Outlaw's Grit
Phenomenal Evil
Quest: Wooglet's Witchcap
Self Destruct
Serve Beyond Death
Shadow Runner
Speed Demon
Spellwake
Trailblazer
Unshackled
Vanish
Weighted Popoffs
Wind Beneath Blade
Witchful Thinking","All For You
Blunt Force
Crack Open That Egg
Critical Rhythm
Dark Blessing
Demon's Dance
Draw Your Sword
Lightning Strikes
Protein Shake
Quest: Angel of Retribution
Quest: Icathia's Fall
Righteous Fury
Sonic Boom
Stuck In Here With Me
The Brutalizer"
Akali,"ADAPt
Big Brain
Blade Waltz
Clown College
Combo Master
Contract Killer
Dashing
Demon's Dance
Despoil
Doomsayer
Earthwake
Energetic
escAPADe
Eureka
Executioner
Fallen Aegis
Final Form
From Beginning to End
Get Excited!
Giant Slayer
Glass Cannon
Goliath
Goredrink
Hold Very Still
Ice Cold
Infernal Conduit
Infernal Soul
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Kill Secured
Magic Missile
Magical Girl
Marksmage
Mirror Image
Mystic Punch
Now You See Me
Ominous Pact
Outlaw's Grit
Phenomenal Evil
Quest: Wooglet's Witchcap
Self Destruct
Serve Beyond Death
Shadow Runner
Speed Demon
Symphony of War
The Brutalizer
Thread the Needle
Trailblazer
Unshackled
Upgrade Collector
Upgrade Hubris
Vanish
Weighted Popoffs
Wind Beneath Blade
Witchful Thinking","All For You
And My Axe!
Circle of Death
Courage of the Colossus
Crack Open That Egg
Critical Rhythm
Dark Blessing
Draw Your Sword
First-Aid Kit
Guilty Pleasure
Holy Fire
Impassable
Juiced
Mercy
Overflow
Protein Shake
Quest: Angel of Retribution
Righteous Fury
Skilled Sniper
Sonic Boom
Tormentor
Trueshot Prodigy"
Akshan,"Aim for the Head
Big Dragon Energy
Blood Brother
Cerberus
Critical Rhythm
Deathtouch
Deft
Draw Your Sword
Dual Wield
Energetic
escAPADe
Fallen Aegis
Fan the Hammer
Firebrand
Get Excited!
Giant Slayer
Glass Cannon
Goredrink
Hold Very Still
Leg Day
Light 'em Up!
Lightning Strikes
Mystic Punch
Numb to Pain
Quest: Three Sacred Treasures
Scopiest Weapons
Shrink Ray
Slow and Steady
Symphony of War
Tap Dancer
Twice Thrice
Typhoon
Upgrade Collector","Adamant
ADAPt
All For You
Big Brain
Circle of Death
Courage of the Colossus
Crack Open That Egg
Dark Blessing
Desecrator
Eureka
Final Form
First-Aid Kit
Guilty Pleasure
Holy Fire
Impassable
Marksmage
Mercy
Ominous Pact
Phenomenal Evil
Protein Shake
Quest: Angel of Retribution
Quest: Icathia's Fall
Quest: Wooglet's Witchcap
Righteous Fury
Slap Around
Sonic Boom
Stuck In Here With Me
Tormentor
Twin Fire
Unshackled
Witchful Thinking"
Alistar,"Adamant
ADAPt
Big Brain
Celestial Body
Center of the Universe
Clothesline
Combo Master
Courage of the Colossus
Critical Healing
Desecrator
Doomsayer
Dreadbringer
Eureka
Executioner
Final Form
From Beginning to End
Frost Wraith
Giant Slayer
Glass Cannon
Goliath
Guilty Pleasure
Heavy Hitter
Hold Very Still
Ice Cold
Impassable
Infernal Conduit
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Light Warden
Magic Missile
Magical Girl
Marksmage
Mercy
Mind to Matter
Mirror Image
Mountain Soul
Ominous Pact
Perseverance
Phenomenal Evil
Protein Shake
Quest: Icathia's Fall
Quest: Steel Your Heart
Quest: Wooglet's Witchcap
Rabble Rousing
Self Destruct
Slap Around
Slime Time
Speed Demon
Spirit Link
Tank Engine
Tormentor
Unshackled
Weighted Popoffs
Willing Sacrifice
Witchful Thinking","And My Axe!
Blunt Force
Critical Rhythm
Draw Your Sword
escAPADe
Lightning Strikes
Skilled Sniper
The Brutalizer
Trueshot Prodigy
Upgrade Collector
Upgrade Hubris"
Amumu,"Adamant
ADAPt
Big Brain
Celestial Body
Center of the Universe
Clothesline
Combo Master
Courage of the Colossus
Critical Healing
Desecrator
Doomsayer
Dreadbringer
Eureka
Executioner
Final Form
From Beginning to End
Frost Wraith
Giant Slayer
Glass Cannon
Goliath
Guilty Pleasure
Heavy Hitter
Hold Very Still
Ice Cold
Impassable
Infernal Conduit
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Light Warden
Magic Missile
Magical Girl
Marksmage
Mercy
Mind to Matter
Mirror Image
Mountain Soul
Ominous Pact
Perseverance
Phenomenal Evil
Quest: Icathia's Fall
Quest: Steel Your Heart
Quest: Wooglet's Witchcap
Rabble Rousing
Self Destruct
Slap Around
Slime Time
Speed Demon
Spirit Link
Tank Engine
Tormentor
Unshackled
Weighted Popoffs
Willing Sacrifice
Witchful Thinking","All For You
And My Axe!
Blunt Force
Circle of Death
Crack Open That Egg
Critical Rhythm
Dark Blessing
Draw Your Sword
escAPADe
First-Aid Kit
Holy Fire
Lightning Strikes
Quest: Angel of Retribution
Righteous Fury
Skilled Sniper
Sonic Boom
The Brutalizer
Trueshot Prodigy
Upgrade Collector
Upgrade Hubris"
Anivia,"Adamant
ADAPt
Big Brain
Combo Master
Desecrator
Doomsayer
Eureka
Executioner
From Beginning to End
Giant Slayer
Glass Cannon
Hold Very Still
Ice Cold
Infernal Conduit
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Magic Missile
Magical Girl
Marksmage
Mind to Matter
Mirror Image
Ominous Pact
Phenomenal Evil
Quest: Wooglet's Witchcap
Speed Demon
Spellwake
Unshackled
Weighted Popoffs
Witchful Thinking","All For You
Blunt Force
Bodyguard
Circle of Death
Crack Open That Egg
Critical Rhythm
Dark Blessing
Dashing
Demon's Dance
Despoil
Draw Your Sword
Earthwake
escAPADe
First-Aid Kit
Holy Fire
Lightning Strikes
Now You See Me
Outlaw's Grit
Protein Shake
Quest: Angel of Retribution
Quest: Icathia's Fall
Righteous Fury
Shadow Runner
Sonic Boom
Stuck In Here With Me
The Brutalizer
Trailblazer
Upgrade Collector
Upgrade Hubris
Wind Beneath Blade"
Annie,"Adamant
ADAPt
Big Brain
Combo Master
Desecrator
Doomsayer
Eureka
Executioner
From Beginning to End
Giant Slayer
Glass Cannon
Hold Very Still
Ice Cold
Infernal Conduit
It's Killing Time
Jeweled Gauntlet
Keystone Conjurer
Magic Missile
Magical Girl
Marksmage
Mind to Matter
Mirror Image
Ominous Pact
Phenomenal Evil
Quest: Wooglet's Witchcap
Speed Demon
Spellwake
Unshackled
Weighted Popoffs
Witchful Thinking","Blunt Force
Bodyguard
Critical Rhythm
Dashing
Demon's Dance
Despoil
Draw Your Sword
Earthwake
escAPADe
Lightning Strikes
Now You See Me
Outlaw's Grit
Quest: Icathia's Fall
Shadow Runner
Stuck In Here With Me
The Brutalizer
Trailblazer
Upgrade Collector
Upgrade Hubris
Wind Beneath Blade"
Aphelios,"Aim for the Head
Big Dragon Energy
Blood Brother
Cerberus
Critical Rhythm
Deathtouch
Deft
Draw Your Sword
Dual Wield
Energetic
escAPADe
Fallen Aegis
Fan the Hammer
Firebrand
Get Excited!
Giant Slayer
Glass Cannon
Goredrink
Hold Very Still
Leg Day
Light 'em Up!
Lightning Strikes
Mystic Punch
Numb to Pain
Quest: Three Sacred Treasures
Scopiest Weapons
Shrink Ray
Slow and Steady
Symphony of War
Tap Dancer
Twice Thrice
Typhoon
Upgrade Collector","ADAPt
All For You
Big Brain
Bodyguard
Circle of Death
Crack Open That Egg
Dark Blessing
Dashing
Despoil
Earthwake
Eureka
Final Form
First-Aid Kit
Holy Fire
Marksmage
Now You See Me
Ominous Pact
Outlaw's Grit
Phenomenal Evil
Protein Shake
Quest: Angel of Retribution
Quest: Icathia's Fall
Quest: Wooglet's Witchcap
Righteous Fury
Shadow Runner
Sonic Boom
Stuck In Here With Me
Trailblazer
Twin Fire
Unshackled
Wind Beneath Blade
Witchful Thinking"
Ashe,"Aim for the Head
Big Dragon Energy
Blood Brother
Cerberus
Critical Rhythm
Deathtouch
Deft
Doomsayer
Draw Your Sword
Dual Wield
Energetic
escAPADe
Fallen Aegis
Fan the Hammer
Firebrand
From Beginning to End
Get Excited!
Giant Slayer
Glass Cannon
Goredrink
Hold Very Still
Leg Day
Light 'em Up!
Lightning Strikes
Mystic Punch
Numb to Pain
OK Boomerang
Quest: Three Sacred Treasures
Repulsor
Scopiest Weapons
Shrink Ray
Skilled Sniper
Slow and Steady
Spellwake
Symphony of War
Tap Dancer
Trueshot Prodigy
Twice Thrice
Typhoon
Upgrade Collector","Adamant
ADAPt
All For You
Big Brain
Bodyguard
Circle of Death
Courage of the Colossus
Crack Open That Egg
Dark Blessing
Dashing
Desecrator
Despoil
Earthwake
Eureka
Final Form
First-Aid Kit
Guilty Pleasure
Holy Fire
Impassable
Marksmage
Mercy
Now You See Me
Ominous Pact
Outlaw's Grit
Phenomenal Evil
Protein Shake
Quest: Angel of Retribution
Quest: Icathia's Fall
Quest: Wooglet's Witchcap
Righteous Fury
Shadow Runner
Slap Around
Sonic Boom
Stuck In Here With Me
Tormentor
Trailblazer
Twin Fire
Unshackled
Wind Beneath Blade
Witchful Thinking"
