200c87a0 %
340ca71c 1
c03868ed 3x6DamageAmp
5483665 3x6DamageRedirectPercentage
79ae02d7 3x6HealCopyPercentage
96a4c6d3 3x6HealPercent
18e3da39 3x6Omnivamp
8fdba4e9 4HitMaxHealthDamage
4ec48008 4HitMaxHealthDamage1
432ee2e5 4HitMaxHealthDamage1Postfix
7469ac24 4HitMaxHealthDamage1Prefix
51c484c1 4HitMaxHealthDamage2
8db7ec7e 4HitMaxHealthDamage2Postfix
95498ff5 4HitMaxHealthDamage2Prefix
50c4832e 4HitMaxHealthDamage3
b9d29c5b 4HitMaxHealthDamage3Postfix
95f4af22 4HitMaxHealthDamage3Prefix
53c487e7 4HitMaxHealthDamage4
abe989ec 4HitMaxHealthDamage4Postfix
93899bfb 4HitMaxHealthDamage4Prefix
52c48654 4HitMaxHealthDamage5
29cfda51 4HitMaxHealthDamage5Postfix
3d3647d0 4HitMaxHealthDamage5Prefix
648d6ecb 4HitMaxHealthDamageNL
175f440d AAAPRatio
e11907d7 AABonusDamage
40676f12 AABonusDamage1
fd3340ef AABonusDamage1Postfix
82951e76 AABonusDamage1Prefix
3f676d7f AABonusDamage2
5eaec404 AABonusDamage2Postfix
d435d713 AABonusDamage2Prefix
3e676bec AABonusDamage3
8586d4a9 AABonusDamage3Postfix
503730c8 AABonusDamage3Prefix
3d676a59 AABonusDamage4
b40e69f6 AABonusDamage4Postfix
c0da4aed AABonusDamage4Prefix
3c6768c6 AABonusDamage5
e2c03253 AABonusDamage5Postfix
6c8dc03a AABonusDamage5Prefix
e26480f5 AABonusDamageNL
69d178e AACDR
f9be912b AAChampMonsterCDR
bb7d5176 AADamage
6d46f2c5 AADamage1
c0b198a2 AADamage1Postfix
c275fec9 AADamage1Prefix
6a46ee0c AADamage2
8ee38a49 AADamage2Postfix
6917a8e8 AADamage2Prefix
6b46ef9f AADamage3
f533ca4 AADamage3Postfix
ed164f33 AADamage3Prefix
ad3b7a2c AADamageNL
9410a3bf AAMax
a431788a AAMax1
ee43a3a7 AAMax1Postfix
d90aa1ae AAMax1Prefix
a33176f7 AAMax2
aebb18dc AAMax2Postfix
5116f7eb AAMax2Prefix
a2317564 AAMax3
ffbf1c01 AAMax3Postfix
80138a00 AAMax3Prefix
628774bd AAMaxNL
1ed82628 AAReduction
c2a027ce AAStacks
4724fc58 AD
6839594b AD1
13f6f0e0 AD1Postfix
8c8090bf AD1Prefix
69395ade AD2
1497f86b AD2Postfix
f8eebdf2 AD2Prefix
6a395c71 AD3
3b56094e AD3Postfix
d3d281c5 AD3Prefix
e7ea5b63 ADAPDamageFlat
67edc216 ADAPDamageFlat1
4d82ef03 ADAPDamageFlat1Postfix
ec240e6a ADAPDamageFlat1Prefix
66edc083 ADAPDamageFlat2
eda534f8 ADAPDamageFlat2Postfix
d9fa6f97 ADAPDamageFlat2Prefix
65edbef0 ADAPDamageFlat3
dc14e7cd ADAPDamageFlat3Postfix
